Y	VEL
0	-9.13E-18
0.001	-0.00057517
0.002	-0.0011503
0.003	-0.0017255
0.004	-0.0023007
0.005	-0.0028759
0.006	-0.003451
0.007	-0.0040262
0.008	-0.0046014
0.009	-0.0051766
0.01	-0.0057517
0.011	-0.0063269
0.012	-0.0069021
0.013	-0.0074773
0.014	-0.0080524
0.015	-0.0086276
0.016	-0.0092028
0.017	-0.009778
0.018	-0.010353
0.019	-0.010928
0.02	-0.011503
0.021	-0.012079
0.022	-0.012654
0.023	-0.013229
0.024	-0.013804
0.025	-0.014379
0.026	-0.014955
0.027	-0.01553
0.028	-0.016105
0.029	-0.01668
0.03	-0.017255
0.031	-0.01783
0.032	-0.018406
0.033	-0.018981
0.034	-0.019556
0.035	-0.020131
0.036	-0.020706
0.037	-0.021281
0.038	-0.021857
0.039	-0.022432
0.04	-0.023007
0.041	-0.023582
0.042	-0.024157
0.043	-0.024733
0.044	-0.025308
0.045	-0.025883
0.046	-0.026458
0.047	-0.027033
0.048	-0.027608
0.049	-0.028184
0.05	-0.028759
0.051	-0.029334
0.052	-0.029909
0.053	-0.030484
0.054	-0.031059
0.055	-0.031635
0.056	-0.03221
0.057	-0.032785
0.058	-0.03336
0.059	-0.033935
0.06	-0.03451
0.061	-0.035086
0.062	-0.035661
0.063	-0.036236
0.064	-0.036811
0.065	-0.037386
0.066	-0.037962
0.067	-0.038537
0.068	-0.039112
0.069	-0.039687
0.07	-0.040262
0.071	-0.040837
0.072	-0.041413
0.073	-0.041988
0.074	-0.042563
0.075	-0.043138
0.076	-0.043713
0.077	-0.044288
0.078	-0.044864
0.079	-0.045439
0.08	-0.046014
0.081	-0.046589
0.082	-0.047164
0.083	-0.047739
0.084	-0.048315
0.085	-0.048834
0.086	-0.049323
0.087	-0.049812
0.088	-0.050301
0.089	-0.05079
0.09	-0.051279
0.091	-0.051768
0.092	-0.052257
0.093	-0.052746
0.094	-0.053235
0.095	-0.053724
0.096	-0.054213
0.097	-0.054702
0.098	-0.055191
0.099	-0.05568
0.1	-0.056169
0.101	-0.056658
0.102	-0.057147
0.103	-0.057636
0.104	-0.058125
0.105	-0.058614
0.106	-0.059103
0.107	-0.059592
0.108	-0.060081
0.109	-0.06057
0.11	-0.061059
0.111	-0.061548
0.112	-0.062037
0.113	-0.062526
0.114	-0.063015
0.115	-0.063504
0.116	-0.063993
0.117	-0.064482
0.118	-0.064971
0.119	-0.06546
0.12	-0.065949
0.121	-0.066438
0.122	-0.066928
0.123	-0.067417
0.124	-0.067892
0.125	-0.068342
0.126	-0.068793
0.127	-0.069244
0.128	-0.069694
0.129	-0.070145
0.13	-0.070595
0.131	-0.071046
0.132	-0.071497
0.133	-0.071947
0.134	-0.072398
0.135	-0.072849
0.136	-0.073299
0.137	-0.07375
0.138	-0.074201
0.139	-0.074651
0.14	-0.075102
0.141	-0.075552
0.142	-0.076003
0.143	-0.076454
0.144	-0.076904
0.145	-0.077355
0.146	-0.077806
0.147	-0.078256
0.148	-0.078707
0.149	-0.079157
0.15	-0.079608
0.151	-0.080059
0.152	-0.080509
0.153	-0.08096
0.154	-0.081411
0.155	-0.081858
0.156	-0.082248
0.157	-0.082638
0.158	-0.083028
0.159	-0.083418
0.16	-0.083808
0.161	-0.084198
0.162	-0.084588
0.163	-0.084978
0.164	-0.085369
0.165	-0.085759
0.166	-0.086149
0.167	-0.086539
0.168	-0.086929
0.169	-0.087319
0.17	-0.087709
0.171	-0.088099
0.172	-0.088489
0.173	-0.088879
0.174	-0.08927
0.175	-0.08966
0.176	-0.09005
0.177	-0.09044
0.178	-0.09083
0.179	-0.09122
0.18	-0.09161
0.181	-0.092
